LAT;LONG;ISO_NAME;ISO_2;Y_2000_09;Y_2001_11;Y_2004_01;Y_2004_05;Y_2005_09;Y_2005_11;Y_2008_05;Y_2008_06;Y_2008_07;Y_2008_08;Y_2008_09;Y_2008_10;Y_2008_11;Y_2008_12;Y_2009_01;Y_2009_02;Y_2009_03;Y_2009_04;Y_2009_05;Y_2009_06;Y_2009_07;Y_2009_08;Y_2009_09;Y_2009_10;Y_2009_11;Y_2009_12;Y_2010_01;Y_2010_02;Y_2010_03;Y_2010_04;Y_2010_05;Y_2010_06;Y_2010_07;Y_2010_08;Y_2010_09;Y_2010_10;Y_2010_11;Y_2010_12;Y_2011_01;Y_2011_02;Y_2011_03;Y_2011_04;Y_2011_05;Y_2011_06;Y_2011_07;Y_2011_08;Y_2011_09;Y_2011_10;Y_2011_11;Y_2011_12;Y_2012_01;Y_2012_02;Y_2012_03;Y_2012_04;Y_2012_05;Y_2012_06;Y_2012_07;Y_2012_08;Y_2012_09;Y_2012_10;Y_2012_11;Y_2012_12;Y_2013_01;Y_2013_02;Y_2013_03;Y_2013_04;Y_2013_05;Y_2013_06;LAT2010;LONG2010
60.25;20.00; Aland Islands;AX;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;6;7;5;7;9;6;5;5;5;2;5;4;3;2;3;6;13;8;10;6;5;10;13;11;10;19;14;8;9;11;9;8;12;11;11;11;13;11;5;10;17;18;16;68.45;19.47
40.50;47.50; Azerbaijan;AZ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;3;0;1;0;0;27;27;29;23;24;28;36;40;33;41;52;56;78;65;69;73;94;73;137;134;119;121;117;115;145;108;88;95;96;98;90;93;100;94;98;130;146;136;157;169;226;325;358;351;317;53.44;46.50
44.00;18.00; Bosnia and Herzegovina;BA;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;2;3;31;22;22;20;62;45;37;49;63;49;44;101;116;74;54;63;72;65;107;115;101;115;143;129;131;108;89;116;118;117;111;112;110;100;112;128;149;140;158;135;127;140;129;134;150;43.99;10.55
13.17;-59.53; Barbados;BB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;26;27;32;30;29;45;45;46;34;37;32;31;31;23;20;21;29;26;45;42;45;52;55;66;67;64;44;50;48;52;36;39;35;34;31;34;44;34;41;36;33;39;38;55;73;10.80;-61.46
24.00;90.00; Bangladesh;BD;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;70;55;65;80;49;52;87;87;222;1249;558;442;339;412;263;246;295;451;396;521;482;576;787;728;617;583;480;355;439;461;1674;805;470;364;363;311;446;510;520;489;469;470;580;543;668;765;29.44;87.85
50.83;4.00; Belgium;BE;0;0;4;0;0;0;0;0;0;0;2;1;1;1;0;2;1;2;0;7;4;76;115;557;676;799;768;738;865;771;886;788;668;749;879;964;773;726;877;1006;959;1421;1529;1404;1435;2389;5325;4080;2252;1873;2483;2416;2485;2428;2560;2616;2586;2764;3103;3625;3589;3670;3534;3447;3662;3438;3597;3478;55.86;-9.15
13.00;-2.00; Burkina Faso;BF;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;1;4;5;6;21;28;27;16;17;14;16;15;26;25;21;28;34;132;50;46;57;56;43;54;46;46;47;44;41;47;52;48;49;50;46;56;56;57;54;18.14;-11.36
43.00;25.00; Bulgaria;BG;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;3;4;108;234;498;428;516;572;647;742;627;753;639;563;536;570;642;528;518;602;742;678;1038;972;913;929;1005;1550;1306;1198;803;1027;875;857;896;851;776;796;779;891;1021;961;962;957;919;1136;1074;998;1024;45.25;17.59
26.00;50.55; Bahrain;BH;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;1;1;3;37;68;184;166;176;152;158;153;141;151;132;129;128;162;163;131;128;179;187;222;468;513;466;409;370;444;407;442;354;426;347;344;357;379;358;345;347;393;426;430;391;352;323;348;296;289;290;26.50;29.40
-3.50;30.00; Burundi;BI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;3;4;1;1;1;2;1;3;3;3;2;5;4;4;7;6;7;6;4;3;3;2;2;1;2;2;3;2;1;1;5;2;0;1;-6.37;17.29
